cell_id,transect_id,natpark_in_out,survey_id,country_id,zebra_count,zebra_observations,livestock_count,livestock_observations,buffalo_count,buffalo_observations,agriculture_count,agriculture_observations,humanresources_count,humanresources_observations
35398,5850,1,833,17,0,0,0,0,0,0,0,0,0,0
35399,5850,1,833,17,0,0,0,0,0,0,0,0,0,0
35400,5850,1,833,17,0,0,0,0,0,0,0,0,0,0
35401,5850,1,833,17,0,0,0,0,0,0,0,0,0,0
35402,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35403,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35404,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35405,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35406,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35407,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35408,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35409,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35410,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35411,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35412,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35413,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35414,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35415,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35416,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35417,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35418,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35419,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35420,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35421,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35422,5849,0,833,17,0,0,0,0,0,0,0,0,0,0
35423,5849,0,833,17,0,0,0,0,0,0,0,0,0,0
35424,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35425,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35426,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35427,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35428,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35429,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35430,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35431,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35432,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35433,5849,1,833,17,0,0,0,0,0,0,0,0,0,0
35434,5849,0,833,17,0,0,0,0,0,0,0,0,0,0
35435,5849,0,833,17,0,0,0,0,0,0,0,0,0,0
35436,5849,0,833,17,0,0,0,0,0,0,0,0,0,0
35437,5849,0,833,17,0,0,0,0,0,0,0,0,0,0
35438,5849,0,833,17,0,0,0,0,0,0,0,0,0,0
35439,5849,0,833,17,0,0,0,0,0,0,0,0,0,0
