observation_type,id,num_observed,survey_area,point_x,point_y,kafue_national_park_centroid,kidepo_valley_national_park_centroid,south_luangwa_national_park_centroid,north_luangwa_national_park_centroid,lukusuzi_national_park_centroid,survey_id
Human Presence,177,1,Luangwa,14.840276,9.660584,,,,,,14
Human Presence,178,1,Luangwa,14.842668,9.660555,,,,,,14
Human Presence,179,1,Luangwa,14.845131,9.66057,,,,,,14
Human Presence,180,1,Luangwa,14.846588,9.660622,,,,,,14
Human Presence,181,1,Luangwa,14.842055,9.666353,,,,,,14
Human Presence,182,1,Luangwa,14.835209,9.666768,,,,,,14
Human Presence,183,1,Luangwa,14.83037,9.666627,,,,,,14
Human Presence,184,1,Luangwa,14.826063,9.666625,,,,,,14
Human Presence,185,1,Luangwa,14.824937,9.666585,,,,,,14
Human Presence,186,1,Luangwa,14.820943,9.666634,,,,,,14
Human Presence,187,1,Luangwa,14.816958,9.66674,,,,,,14
Human Presence,188,1,Luangwa,14.812128,9.666678,,,,,,14
Human Presence,189,1,Luangwa,14.810347,9.666697,,,,,,14
Human Presence,190,1,Luangwa,14.804774,9.666633,,,,,,14
Human Presence,191,1,Luangwa,14.801014,9.666595,,,,,,14
Human Presence,192,1,Luangwa,14.797887,9.666737,,,,,,14
Human Presence,193,1,Luangwa,14.791144,9.66685,,,,,,14
Human Presence,194,1,Luangwa,14.785002,9.666694,,,,,,14
Human Presence,195,1,Luangwa,14.776437,9.666696,,,,,,14
Human Presence,196,1,Luangwa,14.773644,9.666756,,,,,,14
Human Presence,197,1,Luangwa,14.772456,9.666738,,,,,,14
Human Presence,198,1,Luangwa,14.767899,9.666699,,,,,,14
Human Presence,199,1,Luangwa,14.771381,9.672687,,,,,,14
Human Presence,200,1,Luangwa,14.780239,9.672622,,,,,,14
Human Presence,201,1,Luangwa,14.785362,9.67259,,,,,,14
Human Presence,202,1,Luangwa,14.788253,9.672513,,,,,,14
Human Presence,203,1,Luangwa,14.796497,9.672657,,,,,,14
Human Presence,204,1,Luangwa,14.81684,9.672698,,,,,,14
Human Presence,205,1,Luangwa,14.821972,9.672678,,,,,,14
Human Presence,206,1,Luangwa,14.827282,9.672567,,,,,,14
Human Presence,207,1,Luangwa,14.836222,9.672546,,,,,,14
Human Presence,208,1,Luangwa,14.837786,9.67261,,,,,,14
Human Presence,209,1,Luangwa,14.842044,9.672508,,,,,,14
Human Presence,210,1,Luangwa,14.843434,9.672469,,,,,,14
